event_code,event_name,event_title
DIV,Cash Dividend,"GAS - Pays Year, 2020 cash dividend at VND3000/share"
AGME,Annual General Meeting,GAS - Holds 2021 AGM
DIV,Cash Dividend,"GAS - Pays Interim 2, 2019 cash dividend at VND3500/share"
BALLOT,Record date for ballot,GAS - Holds a shareholders circular ballot
DIV,Cash Dividend,"GAS - Pays Interim 3, 2018 cash dividend at VND1300/share"
DIV,Cash Dividend,"GAS - Pays Interim 2, 2018 cash dividend at VND2000/share"
AGME,Annual General Meeting,GAS - Holds 2019 AGM
EGME,Extraordinary General Meeting,GAS - Holds 2018 extra-ordinary shareholders' meeting
DIV,Cash Dividend,"GAS - Pays Interim 1, 2018 cash dividend at VND2000/share"
DIV,Cash Dividend,"GAS - Pays Interim 3, 2017 cash dividend at VND2000/share"
AGME,Annual General Meeting,GAS-Holds 2018 AGM
BOME,BOD Meeting,"GAS-BoD's resolution dated February 23, 2018"
BOME,BOD Meeting,"GAS-BoD's resolution on January 30, 2018"
TS,Treasury Stocks,"GAS-Successfully sold out 601,930 treasury shares from January 05, 2018 to January 19, 2018"
TS,Treasury Stocks,"GAS-Registers to sell 601,930 treasury shares from January 05, 2018 to February 03, 2018"
BOME,BOD Meeting,"GAS-BoD's resolution dated December 19, 2017"
BOME,BOD Meeting,"GAS-BoD's resolution dated December 13, 2017"
DIV,Cash Dividend,"GAS-Pays Interim 2, 2017 cash dividend at VND1000/share"
BCHA,Key Personnel Change,"GAS-Mr. Tran Hung Hien, Deputy CEO, retired from November 01, 2017"
BOME,BOD Meeting,"GAS-BoD's resolution dated November 06, 2017"
BOME,BOD Meeting,"GAS-BoD's resolution dated September 20, 2017"
DIV,Cash Dividend,"GAS - Pays Interim 1, 2017 cash dividend at VND1000/share"
BOME,BOD Meeting,"GAS-BoD's resolution dated August 30, 2017"
BCHA,Key Personnel Change,"GAS-Dismisses Mr. Nguyen Manh Tuong from the position of Board member from June 01, 2017"
OTHE,Other events,GAS-Selects Deloitte Vietnam Company Limited as 2017 financial statements auditing firm
DIV,Cash Dividend,"GAS - Pays Interim 3, 2016 cash dividend at VND1000/share"
BOME,BOD Meeting,"GAS-BoD's resolution dated June 14, 2017"
AGMR,AGM Resolution,GAS- 2017 AGM's resolution
DIV,Cash Dividend,GAS-Pays 2nd 2016 interim cash dividend at VND700/share
BOME,BOD Meeting,"GAS-BoD's resolution dated March 23, 2017"
AGME,Annual General Meeting,GAS-Holds 2017 AGM
BOME,BOD Meeting,"GAS-BoD's resolution dated March 8, 2017"
BOME,BOD Meeting,"GAS-BoD's resolution dated January 5, 2017"
BOME,BOD Meeting,"GAS-BoD's resolution dated January 3, 2017"
DIV,Cash Dividend,"GAS-Pays 2016 interim cash dividend at VND2,300/share"
BOME,BOD Meeting,"GAS-BoD's resolution dated December 8, 2016"
BOME,BOD Meeting,"GAS-BoD's resolution dated October 31, 2016"
BOME,BOD Meeting,"GAS-BOD's resolution dated October 25, 2016"
KQQY,Quarterly results,GAS-Q3/2016 consolidated financial statements
DIV,Cash Dividend,GAS-Pays 3rd 2015 cash dividend at VND500/share
BOME,BOD Meeting,"GAS-BoD's resolution dated September 19, 2016"
BOME,BOD Meeting,"GAS-BoD's resolution dated July 12, 2016"
AGMR,AGM Resolution,GAS-2016 AGM's resolution
DDALL,Director Deal,"GAS-Ms. Ho Thi Ai Thanh, control member, registers to sell 6100 shares "
AIS,Additional Listing,"GAS-Lists 18,950,000 additional shares"
DDALL,Director Deal,"GAS-Mr. Pham Dinh Dat, control member, registers to sell 11,500 shares "
AGME,Annual General Meeting,GAS-Holds 2016 AGM
DIV,Cash Dividend,GAS-Pays 2nd 2015 cash dividend at VND2000/share
BOME,BOD Meeting,"GAS-BoD's resolution dated March 1, 2016"
BCHA,Key Personnel Change,"GAS-Appoints Ms. Chu Thi Trung as Information disclosure officer from February 29, 2016"
DDALL,Director Deal,"GAS-Mr. Pham Dinh Dat, Control member, failed to sell 11,500 shares "
KQQY,Quarterly results,GAS-Q4/2015 financial statements (Consolidated)
BOME,BOD Meeting,"GAS-BoD's resolution dated January 29, 2016"
BOME,BOD Meeting,"GAS-BoD's resolution dated January 29, 2016"
BOME,BOD Meeting,"GAS-BoD's resolution dated January 18, 2016"
DDALL,Director Deal,"GAS- Mr. Pham Dinh Dat, Control member, registers to sell his all 11,500 shares "
BOME,BOD Meeting,"GAS-BoD's resolution dated January 12, 2016"
BCHA,Key Personnel Change,
BCHA,Key Personnel Change,
BOME,BOD Meeting,
BOME,BOD Meeting,
BOME,BOD Meeting,
BCHA,Key Personnel Change,
BOME,BOD Meeting,
AGMR,AGM Resolution,
BOME,BOD Meeting,
BOME,BOD Meeting,
BCHA,Key Personnel Change,
BCHA,Key Personnel Change,
BOME,BOD Meeting,
AGMR,AGM Resolution,
BCHA,Key Personnel Change,
BOME,BOD Meeting,
BOME,BOD Meeting,
BOME,BOD Meeting,
BOME,BOD Meeting,
BOME,BOD Meeting,
EGME,Extraordinary General Meeting,
BOME,BOD Meeting,
BOME,BOD Meeting,
NLIS,New listing,
AGME,Annual General Meeting,GCB - Holds 2023 AGM
AGME,Annual General Meeting,GCB - Holds 2022 AGM
DIV,Cash Dividend,"GCB - Pays Year, 2019 cash dividend at VND800/share"
AGME,Annual General Meeting,GCB - Holds 2020 AGM
DIV,Cash Dividend,"GCB - Pays Year, 2018 cash dividend at VND800/share"
AGME,Annual General Meeting,GCB - Holds 2019 AGM
DIV,Cash Dividend,"GCB - Pays Year, 2017 cash dividend at VND1000/share"
AGME,Annual General Meeting,GCB-Holds 2018 AGM
DIV,Cash Dividend,"GCB - Pays Interim 2, 2016 cash dividend at VND500/share"
AGMR,AGM Resolution,GCB-2017 AGM's resolution
AGME,Annual General Meeting,GCB-Holds 2017 AGM
BOME,BOD Meeting,"GCB-BoD's resolution dated April 24, 2017"
NLIS,New listing,GCB-Officially starts trading on UPCoM
AGMR,AGM Resolution,PTBD- 2016 AGM's resolution
AGMR,AGM Resolution,PTBD- 2015 AGM's resolution
AGME,Annual General Meeting,PTBD-Holds 2015 AGM
AGMR,AGM Resolution,PTBD- 2014 AGM's resolution
AGME,Annual General Meeting,PTBD-Holds 2014 AGM
AGMR,AGM Resolution,PTBD- 2013 AGM's resolution
AGMR,AGM Resolution,PTBD- 2012 AGM's resolution
AGMR,AGM Resolution,PTBD- 2011 AGM's resolution
AGMR,AGM Resolution,PTBD- 2010 AGM's resolution
AGMR,AGM Resolution,PTBD- 2009 AGM's resolution
AGMR,AGM Resolution,PTBD-2008 AGM's resolution
DIV,Cash Dividend,GDA - Pay cash dividend 2022 - Year at VND 1000/share
NLIS,New listing,GDA - Officially registers on Upcom Stock Exchange
AGME,Annual General Meeting,GDA - Holds 2023 AGM
DIV,Cash Dividend,GDA - Pay cash dividend 2021 - Year at VND 1000/share
DIV,Cash Dividend,GDW - Pay cash dividend 2020 - Interim 2 at VND 800/share
DIV,Cash Dividend,GDW - Pay cash dividend 2022 - Year at VND 1200/share
AGME,Annual General Meeting,GDW - Holds 2023 AGM
DIV,Cash Dividend,GDW - Pay cash dividend 2021 - Year at VND 1000/share
AGME,Annual General Meeting,GDW - Holds 2022 AGM
DIV,Cash Dividend,"GDW - Pays Year, 2020 cash dividend at VND1000/share"
AGME,Annual General Meeting,GDW - Holds 2021 AGM
DIV,Cash Dividend,"GDW - Pays Year, 2019 cash dividend at VND1000/share"
AGME,Annual General Meeting,GDW - Holds 2020 AGM
DIV,Cash Dividend,"GDW - Pays Year, 2018 cash dividend at VND1000/share"
AGME,Annual General Meeting,GDW - Holds 2019 AGM
MOVE,Exchange Switching,GDW - Officially lists shares on HNX
SUSP,Listing Suspension,GDW - Cancels registration on UPCoM
DIV,Cash Dividend,"GDW - Pays Year, 2017 cash dividend at VND900/share"
AGME,Annual General Meeting,GDW-Holds 2018 AGM
BOME,BOD Meeting,"GDW-BoD's resolution dated November 03, 2017"
BOME,BOD Meeting,"GDW-BoD's resolution dated July 31, 2017"
BOME,BOD Meeting,"GDW-BoD's resolution dated May 30, 2017"
DIV,Cash Dividend,"GDW - Pays Year, 2016 cash dividend at VND700/share"
AGMR,AGM Resolution,GDW- 2017 AGM's resolution
BOME,BOD Meeting,"GDW-BoD's resolution dated March 23, 2017"
KQSB,Year Interim Result,GDW- 2016 financial statements
AGME,Annual General Meeting,GDW-Holds 2017 AGM
BOME,BOD Meeting,"GDW-BoD's resolution dated October 27, 2016"
DIV,Cash Dividend,GDW-Pays 2nd 2015 cash dividend at VND200/share
BOME,BOD Meeting,"GDW-BoD's resolution dated July 29, 2016"
BOME,BOD Meeting,"GDW-BoD's resolution dated May 26, 2016"
DIV,Cash Dividend,GDW-Pays 2015 cash dividend at VND700/share
AGMR,AGM Resolution,GDW- 2016 AGM's resolution
BCHA,Key Personnel Change,"GDW-Appoints Mr. Pham Long Chau as Deputy Director, head of Technology from April 4, 2016"
BCHA,Key Personnel Change,"GDW-Appoints Mr. Pham Long Chau as Deputy Director, head of Technology from March 8, 2016"
BOME,BOD Meeting,"GDW-BoD's resolution dated March 30, 2016"
BOME,BOD Meeting,"GDW-BoD's resolution dated March 7, 2016"
AGME,Annual General Meeting,GDW-Holds 2016 AGM
KQCT,Final Annual Results,GDW-2015 financial statements
KQCT,Final Annual Results,
KQCT,Final Annual Results,
BOME,BOD Meeting,
AGMR,AGM Resolution,
KQCT,Final Annual Results,
BOME,BOD Meeting,
BCHA,Key Personnel Change,
BOME,BOD Meeting,
BOME,BOD Meeting,
BCHA,Key Personnel Change,
KQCT,Final Annual Results,
BOME,BOD Meeting,
KQCT,Final Annual Results,
KQCT,Final Annual Results,
DIV,Cash Dividend,GEE - Pay cash dividend 2023 - Interim 1 at VND 1000/share
DIV,Cash Dividend,GEE - Pay cash dividend 2022 - Interim 3 at VND 500/share
DIV,Cash Dividend,GEE - Pay cash dividend 2022 - Interim 2 at VND 500/share
AGME,Annual General Meeting,GEE - Holds 2023 AGM
DIV,Cash Dividend,GEE - Pay cash dividend 2022 - Interim 1 at VND 1000/share
AMEN,Name Change,GEE - Change company's name
DIV,Cash Dividend,GEE - Pay cash dividend 2021 - Interim 3 at VND 600/share
DIV,Cash Dividend,GEE - Pay cash dividend 2021 - Interim 2 at VND 1000/share
AGME,Annual General Meeting,GEE - Holds 2022 AGM
NLIS,New listing,GEE- Officially registers shares on UPCoM
KQQY,Quarterly results,GEE - Financial Statement Quarter 4/2021
OTHE,Other events,GEG - Pays 2023 cash dividend for preferred shares at VND612/share
AIS,Additional Listing,"GEG- Lists additional 19,312,499 shares"
ISS,Share Issue,GEG - Issues dividend shares at 6%
AGME,Annual General Meeting,GEG - Holds 2023 AGM
AIS,Additional Listing,"GEG- Lists additional 18,221,376 shares"
ISS,Share Issue,GEG - Issues dividend shares at 6%
AGME,Annual General Meeting,GEG - Holds 2022 AGM
AIS,Additional Listing,"GEG - Lists additional 26,909,601 shares"
DIV,Cash Dividend,"GEG - Pays Year, 2020 cash dividend at VND400/share"
ISS,Share Issue,"GEG - Issues additional shares for existing shareholders at 100:6 and VND10,000/share"
AGME,Annual General Meeting,GEG - Holds 2021 AGM
AIS,Additional Listing,"GEG - Lists additional 230,376 shares"
AIS,Additional Listing,"GEG - Lists additional 16,310,592 shares"
ISS,Share Issue,"GEG- Issues additional shares for existing shareholders at 4:1 and VND10,000/share"
AGME,Annual General Meeting,GEG - Holds 2020 AGM
MOVE,Exchange Switching,GEG - Officially registers shares on HOSE
SUSP,Listing Suspension,GEG - Cancel shares on UPCOM
AIS,Additional Listing,"GEG - Registers 9,709,127 additional shares"
DIV,Cash Dividend,"GEG - Pays Year, 2018 cash dividend at VND700/share"
AGME,Annual General Meeting,GEG - Holds 2018 AGM
AIS,Additional Listing,GEG - Registers 97.091.275 additional shares
DIV,Cash Dividend,"GEG - Pays Year, 2017 cash dividend at VND1000/share"
ISS,Share Issue,GEG-Issues additional shares for existing shareholders at 1:1
EGME,Extraordinary General Meeting,GEG -  Holds 2018 extra-ordinary shareholders' meeting
BALLOT,Record date for ballot,GEG-Record date for holding shareholders' circular ballot
BOME,BOD Meeting,"GEG-BoD's resolution dated March 05, 2018"
BOME,BOD Meeting,"GEG-BoD's resolution dated March 01, 2018"
BOME,BOD Meeting,"GEG-BoD's resolution dated February 13, 2018"
AGME,Annual General Meeting,GEG-Holds 2017 AGM
BOME,BOD Meeting,"GEG-BoD's resolution dated February 05, 2018"
BOME,BOD Meeting,"GEG-BoD's resolution dated February 01, 2018"
KQQY,Quarterly results,GEG-Q4/2017 financial statements (holding company)
BOME,BOD Meeting,"GEG-BoD's resolution dated January 04, 2018"
BCHA,Key Personnel Change,"GEG-Appoints Ms. Tran Thi Kim Chi as Deputy CEO from January 02, 2018"
BOME,BOD Meeting,"GEG-BoD's resolution dated January 02, 2018"
AIS,Additional Listing,GEG-Registers additional shares
KQQY,Quarterly results,GEG-Q3/2017 financial statements (holding company)
BCHA,Key Personnel Change,"GEG-Appoints Mr. Pham Thanh Tuan Anh as Information disclosure officer in replacement for Ms. Vo Thi Kim Tuyen from October 20, 2017"
BOME,BOD Meeting,"GEG-BoD's resolution dated October 17, 2017"
BOME,BOD Meeting,"GEG-BoD's resolution dated September 26, 2017"
BOME,BOD Meeting,"GEG-BoD's resolution dated September 13, 2017"
BOME,BOD Meeting,"GEG-BoD's resolution dated September 11, 2017"
BOME,BOD Meeting,"GEG-BoD's resolution dated September 07, 2017"
KQQY,Quarterly results,GEG-Interim 2017 reviewed consolidated financial statements
BOME,BOD Meeting,"GEG-BoD's resolution dated August 30, 2017"
BOME,BOD Meeting,"GEG-BoD's resolution dated August 28, 2017"
BOME,BOD Meeting,"GEG-BoD's resolution dated August 22, 2017"
BOME,BOD Meeting,"GEG-BoD's resolution dated August 14, 2017"
KQQY,Quarterly results,GEG-Q2/2017 financial statements (holding company)
BCHA,Key Personnel Change,"GEG-Appoints Ms. Vo Thi Kim Tuyen as Information disclosure officer in replacement for Mr. Tran Nguyen Hoan from August 01, 2017"
AIS,Additional Listing,"GEG-Registers 14,897,985 additional shares"
BOME,BOD Meeting,"GEG-BoD's resolution dated July 11, 2017"
BOME,BOD Meeting,"GEG-BoD's resolution dated June 07, 2017"
ISS,Share Issue,GEG-Issues dividend share for existing shareholders at the rate of 20%
BOME,BOD Meeting,"GEG-BoD's resolution dated May 11, 2017"
BCHA,Key Personnel Change,"GEG-Appoints Ms. Tran Thi Phuong as Chief accountant, CFO "
AGMR,AGM Resolution,GEG-2017 AGM's resolution
BOME,BOD Meeting,"GEG-BoD's resolution dated April 14, 2017"
KQSB,Year Interim Result,GEG- 2016 consolidated financial statements
AGME,Annual General Meeting,GEG-Holds 2017 AGM
KQSB,Year Interim Result,GEG- 2016 financial statements (Holding company)
NLIS,New listing,GEG-Officially starts trading on UPCoM
BCHA,Key Personnel Change,GEG-Appoints Mr. Le Thanh Vinh as Deputy CEO
BOME,BOD Meeting,"GEG-BoD's resolution dated February 21, 2017"
DIV,Cash Dividend,GER - Pay cash dividend 2022 - Year at VND 1089.6/share
AGME,Annual General Meeting,GER - Holds 2023 AGM
EGME,Extraordinary General Meeting,GER - Holds 2022 extra-ordinary shareholders meeting
DIV,Cash Dividend,GER - Pay cash dividend 2021 - Year at VND 300/share
AGME,Annual General Meeting,GER - Holds 2022 AGM
DIV,Cash Dividend,"GER - Pays Year, 2019 cash dividend at VND300/share"
AGME,Annual General Meeting,GER - Holds 2019 AGM
AGME,Annual General Meeting,GER - Holds 2019 AGM
AGME,Annual General Meeting,GER-Holds 2018 AGM
BOME,BOD Meeting,"GER-BoD's resolution dated August 01, 2017"
DIV,Cash Dividend,"GER - Pays Year, 2016 cash dividend at VND600/share"
AGMR,AGM Resolution,GER-2017 AGM's resolution
AGME,Annual General Meeting,GER-Holds 2017 AGM
KQSB,Year Interim Result,GER- 2016 financial statements
BOME,BOD Meeting,"GER-BoD's resolution dated February 16, 2017"
BOME,BOD Meeting,"GER-BoD's resolution date November 29, 2016"
BOME,BOD Meeting,"GER-BoD's resolution dated June 23, 2016"
DIV,Cash Dividend,GER-Pays 2015 cash dividend at VND600/share
AGMR,AGM Resolution,GER- 2016 AGM's resolution
BCHA,Key Personnel Change,"GER- Key personnel changes from April 29, 2016"
BOME,BOD Meeting,"GER-BoD's resolution dated March 23, 2016"
AGME,Annual General Meeting,GER-Holds 2016 AGM
KQCT,Final Annual Results,GER-2015 financial statements
BCHA,Key Personnel Change,
AGMR,AGM Resolution,
BCHA,Key Personnel Change,
KQCT,Final Annual Results,
AGMR,AGM Resolution,
KQCT,Final Annual Results,
KQCT,Final Annual Results,
KQCT,Final Annual Results,
AIS,Additional Listing,"GGG - Registers additional 19,753,133 shares"
AGME,Annual General Meeting,GGG - Holds 2021 AGM
AGME,Annual General Meeting,GGG - Holds 2020 AGM
AGME,Annual General Meeting,GGG - Holds 2019 AGM
AGME,Annual General Meeting,GGG-Holds 2018 AGM
BCHA,Key Personnel Change,"GGG-Appoints Mr. Nguyen Cuong as Chairman cum CEO from July 10, 2017"
AGMR,AGM Resolution,GGG-2017 AGM's resolution
AGME,Annual General Meeting,GGG-Holds 2017 AGM
KQCT,Final Annual Results,GGG- 2016 financial statements
AGMR,AGM Resolution,GGG- 2016 AGM's resolution
KQCT,Final Annual Results,GGG-2015 financial statements
AGME,Annual General Meeting,GGG-Holds 2016 AGM
AGMR,AGM Resolution,
KQCT,Final Annual Results,
BCHA,Key Personnel Change,
MOVE,Exchange Switching,
SUSP,Listing Suspension,
KQQY,Quarterly results,
KQCT,Final Annual Results,
KQQY,Quarterly results,
AIS,Additional Listing,
KQQY,Quarterly results,
KQQY,Quarterly results,
AIS,Additional Listing,
KQQY,Quarterly results,
KQQY,Quarterly results,
KQCT,Final Annual Results,
KQQY,Quarterly results,
KQQY,Quarterly results,
KQQY,Quarterly results,
KQQY,Quarterly results,
AIS,Additional Listing,
KQQY,Quarterly results,
BOME,BOD Meeting,
KQCT,Final Annual Results,
DIV,Cash Dividend,GH3 - Pay cash dividend 2022 - Year at VND 420/share
AGME,Annual General Meeting,GH3 - Holds 2023 AGM
DIV,Cash Dividend,GH3 - Pay cash dividend 2021 - Year at VND 417/share
AGME,Annual General Meeting,GH3 - Holds 2022 AGM
DIV,Cash Dividend,"GH3 - Pays Year, 2020 cash dividend at VND400/share"
NLIS,New listing,GH3- Officially registers shares on UPCoM
AGME,Annual General Meeting,GH3 - Holds 2021 AGM
DIV,Cash Dividend,GHC - Pay cash dividend 2023 - Interim 2 at VND 1000/share
DIV,Cash Dividend,GHC - Pay cash dividend 2023 - Interim 1 at VND 1500/share
AGME,Annual General Meeting,GHC - Holds 2023 AGM
DIV,Cash Dividend,GHC - Pay cash dividend 2022 - Interim 2 at VND 1200/share
DIV,Cash Dividend,GHC - Pay cash dividend 2021 - Interim 2 at VND 700/share
AGME,Annual General Meeting,GHC - Holds 2022 AGM
AIS,Additional Listing,"GHC - Registers additional shares 924,209 shares"
ISS,Share Issue,"GHC - Issues additional shares for existing shareholders at 2:1 and VND18,000/share"
DIV,Cash Dividend,"GHC - Pays Interim 1, 2021 cash dividend at VND2500/share"
AGME,Annual General Meeting,GHC - Holds 2021 AGM
DIV,Cash Dividend,"GHC - Pays Interim 2, 2020 cash dividend at VND2200/share"
AIS,Additional Listing,"GHC - Registers additional shares 11,275,000 shares"
ISS,Share Issue,"GHC- Issues additional shares for existing shareholders at 2:1 and VND25,000/share"
DIV,Cash Dividend,"GHC- Pays Interim 1, 2020 cash dividend at VND500/share"
DIV,Cash Dividend,"GHC - Pays Interim 3, 2019 cash dividend at VND500/share"
AGME,Annual General Meeting,GHC - Holds 2020 AGM
DIV,Cash Dividend,"GHC - Pays Interim 2, 2019 cash dividend at VND2000/share"
EGME,Extraordinary General Meeting,GHC - Holds 2019 extra-ordinary shareholders' meeting
DIV,Cash Dividend,"GHC-Pays Interim 1, 2019 cash dividend at VND1500/share"
AGME,Annual General Meeting,GHC - Holds 2019 AGM
DIV,Cash Dividend,"GHC - Pays Interim 1, 2018 cash dividend at VND2500/share"
EGME,Extraordinary General Meeting,GHC-Holds 2018 extraordinary shareholders' meeting 
DIV,Cash Dividend,"GHC - Pays Interim 3, 2017 cash dividend at VND1500/share"
BCHA,Key Personnel Change,"GHC-Key personnel change from March 19, 2018"
AGMR,AGM Resolution,GHC-2018 AGM's resolution
AGME,Annual General Meeting,GHC-Holds 2018 AGM
BOME,BOD Meeting,"GHC-BoD's resolution dated January 29, 2018"
KQQY,Quarterly results,GHC-Q4/2017 financial statements
DIV,Cash Dividend,"GHC-Pays Interim 2, 2017 cash dividend at VND2300/share"
BOME,BOD Meeting,"GHC-BoD's resolution dated December 18, 2017"
KQQY,Quarterly results,GHC-Q3/2017 financial statements
BOME,BOD Meeting,"GHC-BoD's resolution dated September 07, 2017"
BOME,BOD Meeting,"GHC-BoD's resolution dated August 22, 2017"
KQQY,Quarterly results,GHC-Interim 2017 reviewed financial statements
BOME,BOD Meeting,"GHC-BoD's resolution dated August 01, 2017"
KQQY,Quarterly results,GHC-Q2/2017 financial statements
BOME,BOD Meeting,"GHC-BoD's resolution dated July 08, 2017"
BOME,BOD Meeting,"GHC-BoD's resolution dated June 21, 2017"
DIV,Cash Dividend,"GHC - Pays Interim 3, 2016 cash dividend at VND300/share"
BOME,BOD Meeting,"GHC-BoD's resolution dated June 06, 2017"
AGMR,AGM Resolution,GHC- 2017 AGM's resolution
KQSB,Year Interim Result,GHC- 2016 financial statements
AGME,Annual General Meeting,GHC-Holds 2017 AGM
BOME,BOD Meeting,"GHC-BoD's resolution dated March 3, 2017"
BOME,BOD Meeting,"GHC-BoD's resolution dated February 24, 2017"
BCHA,Key Personnel Change,GHC-Appoints Ms. Vo Thi Tuyet Diep as Chief accountant 
KQQY,Quarterly results,GHC-Q4/2016 financial statements
DIV,Cash Dividend,"GHC-Pays 2nd 2016 cash dividend at VND2,200/share"
BOME,BOD Meeting,"GHC-BoD's resolution dated December 15, 2016"
BOME,BOD Meeting,"GHC-BoD's resolution dated December 1, 2016"
BOME,BOD Meeting,"GHC-BoD's resolution dated October 31, 2016"
KQQY,Quarterly results,GHC-Q3/2016 financial statements
BOME,BOD Meeting,"GHC-BoD's resolution dated October 17, 2016"
BCHA,Key Personnel Change,"GHC-Mr. Doan Van Son leaves from the position of Deputy Director from October 1, 2016"
KQQY,Quarterly results,GHC- H1/2016 financial statements
DIV,Cash Dividend,GHC-Pays 1st 2016 cash dividend at VND500/share
BOME,BOD Meeting,GHC-BoD's resolution on paying 1st 2016 cash dividend at 5%
BOME,BOD Meeting,"GHC-BoD's resolution dated July 29, 2016"
KQQY,Quarterly results,GHC- Q2/2016 financial statements
BOME,BOD Meeting,"GHC-BoD's resolution dated July 7, 2016"
BOME,BOD Meeting,"GHC-BoD's resolution dated June 8, 2016"
BOME,BOD Meeting,"GHC-BoD's resolution dated May 19, 2016"
KQQY,Quarterly results,GHC- Q1/2016 financial statements
DIV,Cash Dividend,GHC-Pays 2nd 2015 cash dividend at VND250/share
BOME,BOD Meeting,"GHC-BoD's resolution dated March 29, 2016"
AGMR,AGM Resolution,GHC-2016 AGM's resolution
KQCT,Final Annual Results,GHC-2015 financial statements
BOME,BOD Meeting,"GHC-Chairman's decision dated February 1, 2016"
AGME,Annual General Meeting,GHC-Holds 2016 AGM
BCHA,Key Personnel Change,"GHC-Appoints Ms. Nguyen Thi Dieu as information disclosure officer from February 2, 2016"
BOME,BOD Meeting,"GHC-BoD's resolution dated January 27, 2016"
KQQY,Quarterly results,GHC- Q4/2015 financial statements
BOME,BOD Meeting,"GHC-BoD's resolution dated January 5, 2016"
KQQY,Quarterly results,
KQQY,Quarterly results,
BCHA,Key Personnel Change,
KQQY,Quarterly results,
BOME,BOD Meeting,
BOME,BOD Meeting,
BOME,BOD Meeting,
KQQY,Quarterly results,
BCHA,Key Personnel Change,
AGMR,AGM Resolution,
KQCT,Final Annual Results,
BOME,BOD Meeting,
BCHA,Key Personnel Change,
BOME,BOD Meeting,
KQQY,Quarterly results,
BOME,BOD Meeting,
BCHA,Key Personnel Change,
BOME,BOD Meeting,
AIS,Additional Listing,
BCHA,Key Personnel Change,
BCHA,Key Personnel Change,
BCHA,Key Personnel Change,
BOME,BOD Meeting,
BOME,BOD Meeting,
BOME,BOD Meeting,
BCHA,Key Personnel Change,
BOME,BOD Meeting,
KQCT,Final Annual Results,
BOME,BOD Meeting,
BCHA,Key Personnel Change,
NLIS,New listing,
DIV,Cash Dividend,GIC - Pay cash dividend 2022 - Year at VND 1000/share
AGME,Annual General Meeting,GIC - Holds 2023 AGM
DIV,Cash Dividend,GIC - Pay cash dividend 2021 - Interim 2 at VND 500/share
AGME,Annual General Meeting,GIC - Holds 2022 AGM
DIV,Cash Dividend,"GIC - Pays Interim 1, 2021 cash dividend at VND500/share"
DIV,Cash Dividend,GIC - Pays year 2020 cash dividend at VND1200/share
AGME,Annual General Meeting,GIC - Holds 2021 AGM
NLIS,New listing,GIC- Officially lists shares on HNX
DIV,Cash Dividend,"GIC - Pays Year, 2019 cash dividend at VND1000/share"
KQQY,Quarterly results,GIL - Financial Statement Quarter 2/2023 (holding company)
KQCT,Final Annual Results,GIL - Audited Financial Statement FY 2022 (holding company)
AGME,Annual General Meeting,GIL - Holds 2023 AGM
AIS,Additional Listing,"GIL- Lists additional 1,000,000 shares"
KQQY,Quarterly results,GIL - Financial Statement Quarter 3/2022 (holding company)
AIS,Additional Listing,"GIL- Lists additional 9,000,000 shares"
ISS,Share Issue,GIL - Issues dividend shares at 15%
KQQY,Quarterly results,GIL - Audited Financial Statement Quarter 2/2022 (holding company)
DIV,Cash Dividend,GIL - Pay cash dividend 2021 - Year at VND 1000/share
KQQY,Quarterly results,GIL - Financial Statement Quarter 2/2022 (holding company)
AGME,Annual General Meeting,GIL - Holds 2022 AGM
KQQY,Quarterly results,GIL - Financial Statement Quarter 1/2022 (holding company)
KQCT,Final Annual Results,GIL - Audited Financial Statement FY 2021 (holding company)
KQQY,Quarterly results,GIL - Financial Statement Quarter 4/2021 (holding company)
KQQY,Quarterly results,GIL - Financial Statement Quarter 3/2021 (holding company)
AIS,Additional Listing,"GIL - Lists additional 7,200,000 shares"
EGME,Extraordinary General Meeting,GIL - Holds extra-ordinary shareholders' meeting
KQQY,Quarterly results,GIL - Audited Financial Statement Quarter 2/2021 (holding company)
ISS,Share Issue,GIL - Issues dividend shares at 5:1
TS,Treasury Stocks,"GIL - Sold 16,200 treasury shares"
DIV,Cash Dividend,"GIL - Pays Year, 2020 cash dividend at VND1000/share"
TS,Treasury Stocks,"GIL - Registers to sell 16,200 treasury shares"
KQCT,Final Annual Results,GIL - Audited Financial Statement FY 2020 (holding company)
TS,Treasury Stocks,GIL - Buy treasury shares
TS,Treasury Stocks,GIL -  Registration Buy treasury shares
AIS,Additional Listing,"GIL- Lsts additional 2,410,093 shares"
AIS,Additional Listing,"GIL- Lists additional 9,589,907 shares"
DIV,Cash Dividend,"GIL - Pays Year, 2019 cash dividend at VND1500/share"
ISS,Share Issue,"GIL- Issues additional shares for existing shareholders at 2:1 and VND15,000/share"
AIS,Additional Listing,"GIL - Lists 306,376 additional shares"
AIS,Additional Listing,"GIL - Lists 4,004,976 additional shares"
KQCT,Final Annual Results,GIL - Audited Financial Statement FY 2018 (holding company)
AGME,Annual General Meeting,GIL - Holds 2019 AGM
KQQY,Quarterly results,GIL - Financial Statement Quarter 4/2018 (holding company)
AIS,Additional Listing,GIL - Lists 5.151.237 additional shares
KQQY,Quarterly results,GIL - Financial Statement Quarter 3/2018 (holding company)
ISS,Share Issue,GIL-Issues dividend shares at 37%
KQQY,Quarterly results,GIL - Audited Financial Statement Quarter 2/2018 (holding company)
TS,Treasury Stocks,GIL - Sell treasury shares
